(2, 2, 2), 2019-07-26 16:30:53.494922
(7, 7, 7), 2019-07-26 16:31:30.475156
(6, 6, 6), 2019-07-26 16:35:01.074165
(8, 8, 8), 2019-07-26 16:35:19.357014
(27, 27, 27), 2019-07-26 16:35:34.827475
(60, 60, 60), 2019-07-26 16:35:54.139265
(44, 44, 44), 2019-07-26 16:36:11.202758
(29, 29, 29), 2019-07-26 16:36:28.454694
(5, 5, 5), 2019-07-26 16:36:44.244698
(9, 9, 9), 2019-07-26 16:37:00.519408
(17, 17, 17), 2019-07-26 16:37:34.815866
(85, 85, 85), 2019-07-26 16:37:50.005241
(15, 15, 15), 2019-07-26 16:38:05.152624
(30, 30, 30), 2019-07-26 16:38:20.435452
(15, 15, 15), 2019-07-26 16:38:35.209240
(73, 73, 73), 2019-07-26 16:38:52.068437
(10, 10, 10), 2019-07-26 16:41:06.324354
(45, 45, 45), 2019-07-26 16:42:10.978505
(67, 67, 67), 2019-07-26 16:42:27.480290
(2, 2, 2), 2019-07-26 16:43:00.723639
(17, 17, 17), 2019-07-26 16:43:20.018691
(1, 1, 1), 2019-07-26 16:43:38.075322
(4, 4, 4), 2019-07-26 16:44:26.170898
(26, 26, 26), 2019-07-26 16:44:45.578739
(5, 5, 5), 2019-07-26 16:45:02.305390
(13, 13, 13), 2019-07-26 16:46:03.551064
(11, 11, 11), 2019-07-26 16:47:10.651279
(8, 8, 8), 2019-07-26 16:47:31.349875
(36, 36, 36), 2019-07-26 16:47:50.160507
(15, 15, 15), 2019-07-26 16:48:08.776776
(8, 8, 8), 2019-07-26 16:48:31.897860
(37, 37, 37), 2019-07-26 16:49:08.403048
(28, 28, 28), 2019-07-26 16:49:29.404849
(19, 19, 19), 2019-07-26 16:49:48.529713
(4, 4, 4), 2019-07-26 16:50:06.830395
(3, 3, 3), 2019-07-26 16:50:25.188454
(37, 37, 37), 2019-07-26 16:50:43.656628
(14, 14, 14), 2019-07-26 16:51:02.968044
(47, 47, 47), 2019-07-26 16:51:21.270380
(38, 38, 38), 2019-07-26 16:51:42.065511
(11, 11, 11), 2019-07-26 16:52:01.245288
(29, 29, 29), 2019-07-26 16:52:20.181558
(14, 14, 14), 2019-07-26 16:52:39.345651
(15, 15, 15), 2019-07-26 16:52:57.910098
(3, 3, 3), 2019-07-26 16:53:18.964920
(19, 19, 19), 2019-07-26 16:53:37.192930
(76, 76, 76), 2019-07-26 16:53:55.848388
(38, 38, 38), 2019-07-26 16:54:15.009418
(26, 26, 26), 2019-07-26 16:54:33.575409
(12, 12, 12), 2019-07-26 16:54:51.760194
(5, 5, 5), 2019-07-26 16:55:10.944485
(14, 14, 14), 2019-07-26 16:55:29.449367
(1, 1, 1), 2019-07-26 16:55:47.674461
(13, 13, 13), 2019-07-26 16:56:06.106378
(5, 5, 5), 2019-07-26 16:56:24.800906
(4, 4, 4), 2019-07-26 16:56:43.270560
(4, 4, 4), 2019-07-26 16:57:01.683621
(22, 22, 22), 2019-07-26 16:57:20.057825
(24, 24, 24), 2019-07-26 16:57:38.246924
(34, 34, 34), 2019-07-26 16:57:58.923929
(12, 12, 12), 2019-07-26 16:58:18.372402
(33, 33, 33), 2019-07-26 16:58:37.216938
(22, 22, 22), 2019-07-26 16:58:57.220978
(0, 0, 0), 2019-07-29 17:33:12.379026
(0, 0, 0), 2019-07-29 17:35:10.480619
(1, 1, 1), 2019-07-29 17:36:04.230402
(1, 1, 1), 2019-07-30 11:53:33.623424
(7, 7, 7), 2019-07-30 11:53:55.173834
(5, 5, 5), 2019-07-30 11:54:28.177179
(21, 21, 21), 2019-07-30 11:54:48.090067
(12, 12, 12), 2019-07-30 11:55:00.374146
(19, 19, 19), 2019-07-30 11:55:23.811496
(7, 7, 7), 2019-07-30 11:59:36.938614
(12, 12, 12), 2019-07-30 12:11:30.366854
(6, 6, 6), 2019-07-30 12:16:36.218551
(12, 12, 12), 2019-07-30 12:17:53.026413
(17, 17, 17), 2019-07-30 12:18:41.786489
(25, 25, 25), 2019-07-30 12:20:16.438466
(24, 24, 24), 2019-07-30 12:20:55.548110
(24, 24, 24), 2019-07-30 12:21:28.087096
(22, 22, 22), 2019-07-30 12:22:04.560978
(6, 6, 6), 2019-07-30 12:22:24.156413
(19, 19, 19), 2019-07-30 12:23:03.717480
(30, 30, 30), 2019-07-30 12:27:37.936237
(8, 8, 8), 2019-07-30 12:28:11.104911
(65, 65, 65), 2019-07-30 12:39:34.994472
(38, 38, 38), 2019-07-30 12:39:43.844689
(124, 124, 124), 2019-07-30 12:40:28.059966
(46, 46, 46), 2019-07-30 12:41:32.186754
(17, 17, 17), 2019-07-30 12:45:53.180626
(10, 10, 10), 2019-07-30 15:07:36.525928
(22, 22, 22), 2019-07-30 15:09:30.133898
(20, 20, 20), 2019-07-30 15:09:39.414433
(17, 17, 17), 2019-07-30 15:09:47.849274
(7, 7, 7), 2019-07-30 15:10:05.813520
(4, 4, 4), 2019-07-30 15:10:14.569598
(31, 31, 31), 2019-07-30 15:10:29.007574
(47, 47, 47), 2019-07-30 15:10:41.193994
(11, 11, 11), 2019-07-30 15:10:49.668859
(10, 10, 10), 2019-07-30 15:10:57.226712
(8, 8, 8), 2019-07-30 15:11:04.761390
(5, 5, 5), 2019-07-30 15:11:12.261259
(4, 4, 4), 2019-07-30 15:11:19.818040
(0, 0, 0), 2019-07-30 15:11:27.317904
(3, 3, 3), 2019-07-30 15:11:36.356209
(1, 1, 1), 2019-07-30 15:11:45.636176
